Mito,Cage,Replicate,Time,Count
Yak,5,1,124,0
Yak,5,2,124,1
Yak,5,3,124,0
Yak,5,4,124,1
Yak,5,5,124,1
Zim,1,1,124,3
Zim,1,2,124,3
Zim,1,3,124,0
Zim,1,4,124,0
Zim,1,5,124,0
Zim,3,1,124,0
Zim,3,2,124,1
Zim,3,3,124,2
Zim,3,4,124,2
Zim,3,5,124,0
Zim,5,1,124,3
Zim,5,2,124,0
Zim,5,3,124,0
Zim,5,4,124,1
Zim,5,5,124,2
Bei,1,1,127.5,0
Bei,1,2,127.5,0
Bei,1,3,127.5,0
Bei,1,4,127.5,0
Bei,1,5,127.5,1
Bei,3,1,127.5,2
Bei,3,2,127.5,0
Bei,3,3,127.5,1
Bei,3,4,127.5,1
Bei,3,5,127.5,2
Bei,5,1,127.5,0
Bei,5,2,127.5,0
Bei,5,3,127.5,0
Bei,5,4,127.5,0
Bei,5,5,127.5,0
Yak,1,1,127.5,0
Yak,1,2,127.5,0
Yak,1,3,127.5,0
Yak,1,4,127.5,1
Yak,1,5,127.5,0
Yak,3,1,127.5,0
Yak,3,2,127.5,0
Yak,3,3,127.5,0
Yak,3,4,127.5,4
Yak,3,5,127.5,0
Yak,5,1,127.5,0
Yak,5,2,127.5,0
Yak,5,3,127.5,1
Yak,5,4,127.5,1
Yak,5,5,127.5,0
Zim,1,1,127.5,0
Zim,1,2,127.5,0
Zim,1,3,127.5,0
Zim,1,4,127.5,2
Zim,1,5,127.5,0
Zim,3,1,127.5,0
Zim,3,2,127.5,0
Zim,3,3,127.5,1
Zim,3,4,127.5,0
Zim,3,5,127.5,0
Zim,5,1,127.5,0
Zim,5,2,127.5,2
Zim,5,3,127.5,0
Zim,5,4,127.5,0
Zim,5,5,127.5,0
Bei,1,1,139.5,0
Bei,1,2,139.5,0
Bei,1,3,139.5,0
Bei,1,4,139.5,0
Bei,1,5,139.5,0
Bei,3,1,139.5,0
Bei,3,2,139.5,0
Bei,3,3,139.5,0
Bei,3,4,139.5,4
Bei,3,5,139.5,0
Bei,5,1,139.5,0
Bei,5,2,139.5,0
Bei,5,3,139.5,0
Bei,5,4,139.5,0
Bei,5,5,139.5,0
Yak,1,1,139.5,0
Yak,1,2,139.5,1
Yak,1,3,139.5,0
Yak,1,4,139.5,0
Yak,1,5,139.5,2
Yak,3,1,139.5,0
Yak,3,2,139.5,0
Yak,3,3,139.5,0
Yak,3,4,139.5,0
Yak,3,5,139.5,0
Yak,5,1,139.5,4
Yak,5,2,139.5,0
Yak,5,3,139.5,0
Yak,5,4,139.5,1
Yak,5,5,139.5,4
Zim,1,1,139.5,0
Zim,1,2,139.5,0
Zim,1,3,139.5,0
Zim,1,4,139.5,3
Zim,1,5,139.5,0
Zim,3,1,139.5,0
Zim,3,2,139.5,2
Zim,3,3,139.5,0
Zim,3,4,139.5,1
Zim,3,5,139.5,0
Zim,5,1,139.5,0
Zim,5,2,139.5,0
Zim,5,3,139.5,0
Zim,5,4,139.5,0
Zim,5,5,139.5,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
