Mito,Cage,Vial,Count
Yak,2,9,39
Yak,2,10,0
Yak,2,11,73
Yak,2,12,60
Yak,2,13,42
Yak,2,14,69
Yak,2,15,19
Yak,2,16,57
Yak,2,17,62
Yak,2,18,57
Yak,2,19,50
Yak,2,20,39
Yak,2,21,77
Yak,2,22,59
Yak,2,23,47
Yak,2,24,63
Yak,2,25,53
Yak,2,26,79
Yak,2,27,39
Yak,2,28,18
Yak,2,29,34
Yak,2,30,62
Yak,2,31,67
Yak,2,32,47
Yak,2,33,0
Yak,2,34,58
Yak,2,35,62
Yak,2,36,58
Yak,2,37,73
Yak,2,38,36
Yak,2,39,59
Yak,2,40,73
Yak,2,41,72
Yak,2,42,35
Yak,2,43,64
Yak,2,44,75
Yak,2,45,40
Yak,3,1,78
Yak,3,2,37
Yak,3,3,42
Yak,3,4,59
Yak,3,5,65
Yak,3,6,74
Yak,3,7,39
Yak,3,8,72
Yak,3,9,54
Yak,3,10,48
Yak,3,11,56
Yak,3,12,57
Yak,3,13,82
Yak,3,14,79
Yak,3,15,61
Yak,3,16,36
Yak,3,17,81
Yak,3,18,57
Yak,3,19,32
Yak,3,20,69
Yak,3,21,66
Yak,3,22,72
Yak,3,23,49
Yak,3,24,80
Yak,3,25,67
Yak,3,26,53
Yak,3,27,76
Yak,3,28,65
Yak,3,29,62
Yak,3,30,93
Yak,3,31,74
Yak,3,32,75
Yak,3,33,83
Yak,3,34,14
Yak,3,35,65
Yak,3,36,90
Yak,3,37,0
Yak,3,38,67
Yak,3,39,51
Yak,3,40,74
Yak,3,41,20
Yak,3,42,29
Yak,3,43,83
Yak,3,44,71
Yak,3,45,70
Yak,4,1,47
Yak,4,2,35
Yak,4,3,3
Yak,4,4,12
Yak,4,5,12
Yak,4,6,20
Yak,4,7,27
Yak,4,8,39
Yak,4,9,54
Yak,4,10,30
Yak,4,11,41
Yak,4,12,67
Yak,4,13,14
Yak,4,14,14
Yak,4,15,0
Yak,4,16,35
Yak,4,17,25
Yak,4,18,40
Yak,4,19,25
Yak,4,20,18
Yak,4,21,36
Yak,4,22,54
Yak,4,23,35
Yak,4,24,33
Yak,4,25,27
Yak,4,26,18
Yak,4,27,54
Yak,4,28,7
Yak,4,29,9
Yak,4,30,44
Yak,4,31,66
Yak,4,32,27
Yak,4,33,42
Yak,4,34,50
Yak,4,35,16
Yak,4,36,2
Yak,4,37,50
Yak,4,38,8
Yak,4,39,0
Yak,4,40,14
Yak,4,41,55
Yak,4,42,5
Yak,4,43,55
Yak,4,44,23
Yak,4,45,27
Yak,5,1,66
Yak,5,2,57
Yak,5,3,47
Yak,5,4,60
Yak,5,5,75
Yak,5,6,45
Yak,5,7,57
Yak,5,8,55
Yak,5,9,79
Yak,5,10,74
Yak,5,11,74
Yak,5,12,56
Yak,5,13,60
Yak,5,14,30
Yak,5,15,70
Yak,5,16,51
Yak,5,17,62
Yak,5,18,58
Yak,5,19,47
Yak,5,20,72
Yak,5,21,87
Yak,5,22,88
Yak,5,23,55
Yak,5,24,67
Yak,5,25,2
Yak,5,26,44
Yak,5,27,79
Yak,5,28,77
Yak,5,29,84
Yak,5,30,2
Yak,5,31,83
Yak,5,32,56
Yak,5,33,65
Yak,5,34,71
Yak,5,35,72
Yak,5,36,8
Yak,5,37,66
Yak,5,38,50
Yak,5,39,50
Yak,5,40,28
Yak,5,41,10
Yak,5,42,60
Yak,5,43,63
Yak,5,44,69
Yak,5,45,61
Zim,1,1,40
Zim,1,2,63
Zim,1,3,64
Zim,1,4,55
Zim,1,5,42
Zim,1,6,63
Zim,1,7,55
Zim,1,8,56
Zim,1,9,51
Zim,1,10,35
Zim,1,11,33
Zim,1,12,59
Zim,1,13,7
Zim,1,14,55
Zim,1,15,55
Zim,1,16,10
Zim,1,17,49
Zim,1,18,19
Zim,1,19,51
Zim,1,20,37
Zim,1,21,72
Zim,1,22,33
Zim,1,23,43
Zim,1,24,41
Zim,1,25,39
Zim,1,26,24
Zim,1,27,65
Zim,1,28,38
Zim,1,29,61
Zim,1,30,42
Zim,1,31,48
Zim,1,32,41
Zim,1,33,36
Zim,1,34,14
Zim,1,35,56
Zim,1,36,72
Zim,1,37,50
Zim,1,38,25
Zim,1,39,44
Zim,1,40,60
Zim,1,41,52
Zim,1,42,5
Zim,1,43,51
Zim,1,44,61
Zim,1,45,28
Zim,2,1,30
Zim,2,2,39
Zim,2,3,67
Zim,2,4,63
Zim,2,5,5
Zim,2,6,23
Zim,2,7,57
Zim,2,8,34
Zim,2,9,16
Zim,2,10,60
Zim,2,11,31
Zim,2,12,55
Zim,2,13,28
Zim,2,14,44
Zim,2,15,77
Zim,2,16,57
